timestamp, name, type, amount, status, description
1624507883 , JOHN DOE, DEBIT, 250000 , SUCCESS, restaurant
1624608050 , E-COMMERCE A, DEBIT, 150000 , FAILED, clothes
1624512883 , COMPANY A, CREDIT, 12000000 , SUCCESS, salary
1624615065 , E-COMMERCE B, DEBIT, 150000 , PENDING, clothes
1624507900 , SUPERMARKET, DEBIT, 500000 , SUCCESS, groceries
1624508000 , FREELANCE WORK, CREDIT, 5000000 , SUCCESS, consulting
1624609000 , ATM WITHDRAWAL, DEBIT, 1000000 , FAILED, cash
1624616000 , UTILITY BILL, DEBIT, 250000 , PENDING, electricity
1624617000 , BANK TRANSFER, CREDIT, 2000000 , SUCCESS, transfer in
1624618000 , ONLINE STORE, DEBIT, 750000 , FAILED, refund pending
